Име на фирмата / Студиото,Тип / Категория,Локация (София),Управител / Контакт,Телефон,Имейл,Уебсайт / Профил,Специализация
Мегаинвест-холд ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=3911,ЕИК: 109514979 | Строежи от високо строителство и инфраструктура
Транс Билд ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=3743,ЕИК: 131455374 | Строежи от високо строителство и инфраструктура
ВДХ АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1063,ЕИК: 119081953 | Строежи от високо строителство и инфраструктура
Гигастрой ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=3325,ЕИК: 175096421 | Строежи от високо строителство и инфраструктура
Стройкомерс ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1646,ЕИК: 109514464 | Строежи от високо строителство и инфраструктура
БУЛГАРТРАНСГАЗ ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=5487,ЕИК: 175203478 | Строежи от високо строителство и инфраструктура
КАСТЕЛО ПРИКАСТ ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=7361,ЕИК: 175231972 | Строежи от високо строителство и инфраструктура
ПАРТРЕЙД ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=4586,ЕИК: 112062174 | Строежи от високо строителство и инфраструктура
УФФ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=17744,ЕИК: 202656674 | Строежи от високо строителство и инфраструктура
Мармет АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1470,ЕИК: 204566784 | Строежи от високо строителство и инфраструктура
Енергоремонт-Козлодуй ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10340,ЕИК: 106629378 | Строежи от високо строителство и инфраструктура
ЕДЕМ Д2 ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=7720,ЕИК: 131176905 | Строежи от високо строителство и инфраструктура
Стреза ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=3342,ЕИК: 131223059 | Строежи от високо строителство и инфраструктура
ТРЕЙС ГРУП ХОЛД АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=712,ЕИК: 123682269 | Строежи от високо строителство и инфраструктура
Хидростроителство ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=3144,ЕИК: 831641818 | Строежи от високо строителство и инфраструктура
Капитол Груп ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=6221,ЕИК: 131112176 | Строежи от високо строителство и инфраструктура
ИРЕЛ СТРОЙ ЕНД ПРОДЖЕКТ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=7997,ЕИК: 131515088 | Строежи от високо строителство и инфраструктура
ВИА КОНСТРУКТ ГРУП ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=7075,ЕИК: 175396059 | Строежи от високо строителство и инфраструктура
МИРАТ ГРУП ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=9380,ЕИК: 200463559 | Строежи от високо строителство и инфраструктура
Кордеел-България ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1394,ЕИК: 121895432 | Строежи от високо строителство и инфраструктура
ЕЛ - ТЕСТ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2214,ЕИК: 130355047 | Строежи от високо строителство и инфраструктура
ХИДРОИНЖЕКТ ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=4643,ЕИК: 130570053 | Строежи от високо строителство и инфраструктура
ТОБО ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=504,ЕИК: 831301080 | Строежи от високо строителство и инфраструктура
Телекомплект АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=853,ЕИК: 831643753 | Строежи от високо строителство и инфраструктура
Хидрострой АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=291,ЕИК: 103029862 | Строежи от високо строителство и инфраструктура
Валмекс ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=108,ЕИК: 010700093 | Строежи от високо строителство и инфраструктура
ЕНЕРГО РЕМОНТ СТРОЙ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=146,ЕИК: 121891697 | Строежи от високо строителство и инфраструктура
Маркан EООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=830,ЕИК: 122018233 | Строежи от високо строителство и инфраструктура
МОНТАЖИ КО EООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10724,ЕИК: 175329555 | Строежи от високо строителство и инфраструктура
ВЕНКОВ ИНЖЕНЕРИНГ ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10929,ЕИК: 131451059 | Строежи от високо строителство и инфраструктура
Нивел ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=219,ЕИК: 121063033 | Строежи от високо строителство и инфраструктура
ФАКТОР ТРЕЙД ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10648,ЕИК: 202300799 | Строежи от високо строителство и инфраструктура
ЕВРОКАНАЛ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=16554,ЕИК: 175299165 | Строежи от високо строителство и инфраструктура
АТ ИНЖЕНЕРИНГ 2000 ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=470,ЕИК: 121242342 | Строежи от високо строителство и инфраструктура
Х.С.С. ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10445,ЕИК: 130987513 | Строежи от високо строителство и инфраструктура
Химремонтстрой АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2510,ЕИК: 816089204 | Строежи от високо строителство и инфраструктура
Телелинк Инфра Сървисис ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=17879,ЕИК: 204856684 | Строежи от високо строителство и инфраструктура
ЕС-ДЖИ 81 ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=15730,ЕИК: 202296660 | Строежи от високо строителство и инфраструктура
НСК СОФИЯ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=11016,ЕИК: 831838874 | Строежи от високо строителство и инфраструктура
Централна енергоремонтна база ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12056,ЕИК: 831914037 | Строежи от високо строителство и инфраструктура
ПЕРЛАМЕТ СЕ ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=11510,ЕИК: 040540837 | Строежи от високо строителство и инфраструктура
СОФЕКОСТРОЙ ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=8989,ЕИК: 205615476 | Строежи от високо строителство и инфраструктура
ВИЙОМ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=4762,ЕИК: 121808630 | Строежи от високо строителство и инфраструктура
Алди Комерс Груп ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=13928,ЕИК: 202221469 | Строежи от високо строителство и инфраструктура
БЪЛГАРСКА СТРОИТЕЛНО - ИНВЕСТИЦИОННА КОМПАНИЯ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=15856,ЕИК: 203261947 | Строежи от високо строителство и инфраструктура
ГЕОТЕХНИКА АБС ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=17498,ЕИК: 130298379 | Строежи от високо строителство и инфраструктура
Дева Транс ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=11189,ЕИК: 131020201 | Строежи от високо строителство и инфраструктура
Балкантел ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12979,ЕИК: 831168299 | Строежи от високо строителство и инфраструктура
КАЛИСТРАТОВ ГРУП АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12546,ЕИК: 206422081 | Строежи от високо строителство и инфраструктура
Диана комерс 1 ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=252,ЕИК: 128018756 | Строежи от високо строителство и инфраструктура
ИНТЕРХОЛД ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=14064,ЕИК: 202357469 | Строежи от високо строителство и инфраструктура
ЦЕКИ-ЗАХАРИЕВ И С-ИЕ СД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=8317,ЕИК: 122043820 | Строежи от високо строителство и инфраструктура
С.И.С. М - СТРОЙ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=14135,ЕИК: 202592517 | Строежи от високо строителство и инфраструктура
Енергомонтаж инженеринг АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2989,ЕИК: 115544069 | Строежи от високо строителство и инфраструктура
МИКС- КОНСТРЪКШЪН ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=4581,ЕИК: 175159754 | Строежи от високо строителство и инфраструктура
РУВЕКС АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=9628,ЕИК: 131460040 | Строежи от високо строителство и инфраструктура
Ивелинстрой ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=10212,ЕИК: 200388512 | Строежи от високо строителство и инфраструктура
СТРОИТЕЛНО ПРЕДПРИЕМАЧЕСКИ ХОЛДИНГ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1092,ЕИК: 130917415 | Строежи от високо строителство и инфраструктура
ИНФРАСТРУКТУРНО СТРОИТЕЛСТВО АД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=8794,ЕИК: 203676249 | Строежи от високо строителство и инфраструктура
АКВА ТЕМПУС ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=13153,ЕИК: 201635015 | Строежи от високо строителство и инфраструктура
ПЪТПРИБОР ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=2667,ЕИК: 831854370 | Строежи от високо строителство и инфраструктура
Аргогруп Екзакт ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=815,ЕИК: 130058042 | Строежи от високо строителство и инфраструктура
ПЪТСТРОЙ ВДХ ЕАД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=1505,ЕИК: 206474936 | Строежи от високо строителство и инфраструктура
БУЛМИКС - ВИП ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12673,ЕИК: 131147273 | Строежи от високо строителство и инфраструктура
Инженерни системи ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=8428,ЕИК: 200102975 | Строежи от високо строителство и инфраструктура
ОБИТЕХ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=9431,ЕИК: 130989820 | Строежи от високо строителство и инфраструктура
ИНЕРКОМ ЕООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12832,ЕИК: 201657531 | Строежи от високо строителство и инфраструктура
ДЕДАЛ-1995 ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=12102,ЕИК: 121386759 | Строежи от високо строителство и инфраструктура
ГИ Камп ООД ООД,Строителна фирма (Регистриран строител - КСБ),София,Управител (в регистъра),Виж профила в КСБ,Официален контакт в КСБ,https://register.ksb.bg/pub_view.php?id_members=13235,ЕИК: 200678992 | Строежи от високо строителство и инфраструктура
